timestamp,log_level,Text Size (bits),SMC Ratio,SMC + Huffman Ratio,Huffman Ratio,Gzip Ratio,Zstd Ratio
2023-08-27 16:11:10,636,INFO,1168,0.486301,0.267123,-0.036815,0.068493,0.178082
2023-08-27 16:11:10,639,INFO,656,0.414634,0.170732,-0.301829,-0.207317,0.000000
2023-08-27 16:11:10,641,INFO,600,0.533333,0.373333,-0.233333,-0.226667,-0.013333
2023-08-27 16:11:10,642,INFO,232,0.379310,-0.103448,-0.741379,-0.793103,-0.310345
2023-08-27 16:11:10,644,INFO,528,0.484848,0.106061,-0.407197,-0.348485,-0.136364
2023-08-27 16:11:10,645,INFO,472,0.491525,0.067797,-0.377119,-0.338983,-0.152542
2023-08-27 16:11:10,647,INFO,360,0.466667,0.111111,-0.600000,-0.555556,-0.200000
2023-08-27 16:11:10,648,INFO,448,0.267857,-0.428571,-0.470982,-0.392857,-0.160714
2023-08-27 16:11:10,653,INFO,1632,0.441176,0.093137,-0.066789,0.093137,0.176471
2023-08-27 16:11:10,656,INFO,832,0.471154,0.240385,-0.080529,-0.057692,0.105769
2023-08-27 16:11:10,658,INFO,712,0.505618,0.269663,-0.313202,-0.168539,0.022472
2023-08-27 16:11:10,659,INFO,336,0.500000,0.309524,-0.351190,-0.500000,-0.214286
2023-08-27 16:11:10,661,INFO,608,0.473684,0.276316,-0.258224,-0.184211,-0.065789
2023-08-27 16:11:10,665,INFO,920,0.478261,0.260870,-0.051087,0.017391,0.121739
2023-08-27 16:11:10,666,INFO,168,0.380952,0.000000,-1.005952,-1.190476,-0.428571
2023-08-27 16:11:10,666,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:10,666,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:10,667,INFO,184,0.391304,-0.130435,-0.875000,-1.086957,-0.391304
2023-08-27 16:11:10,669,INFO,368,0.478261,0.217391,-0.394022,-0.543478,-0.195652
2023-08-27 16:11:10,669,INFO,136,0.352941,-0.352941,-1.073529,-1.470588,-0.529412
2023-08-27 16:11:10,671,INFO,496,0.403226,-0.096774,-0.425403,-0.338710,-0.145161
2023-08-27 16:11:10,673,INFO,352,0.477273,0.295455,-0.494318,-0.545455,-0.204545
2023-08-27 16:11:10,675,INFO,480,0.433333,-0.033333,-0.543750,-0.383333,-0.150000
2023-08-27 16:11:10,675,INFO,200,0.400000,-0.200000,-0.765000,-1.000000,-0.360000
2023-08-27 16:11:10,676,INFO,224,0.392857,0.035714,-0.522321,-0.821429,-0.321429
2023-08-27 16:11:10,678,INFO,416,0.480769,0.153846,-0.502404,-0.480769,-0.173077
2023-08-27 16:11:10,678,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:10,680,INFO,584,0.506849,0.342466,-0.250000,-0.219178,-0.013699
2023-08-27 16:11:10,681,INFO,264,0.424242,0.000000,-0.503788,-0.757576,-0.272727
2023-08-27 16:11:10,683,INFO,432,0.500000,0.166667,-0.407407,-0.462963,-0.166667
2023-08-27 16:11:10,683,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:10,684,INFO,192,0.333333,-0.291667,-1.026042,-1.041667,-0.375000
2023-08-27 16:11:10,687,INFO,616,0.454545,0.142857,-0.233766,-0.194805,-0.025974
